anime,oseba,vloga
849,212,Main
849,73,Supporting
849,136,Supporting
849,107,Supporting
849,481,Supporting
849,7,Supporting
849,8085,Producer
849,5055,Director
849,7194,Sound Director
849,6771,Episode Director
14227,735,Main
14227,890,Main
14227,17215,Supporting
14227,413,Supporting
14227,15743,Supporting
14227,99,Supporting
14227,11858,Supporting
14227,185,Supporting
14227,15919,Supporting
14227,380,Supporting
14227,8461,Director
14227,30359,Episode Director
14227,25613,Episode Director
14227,36836,Episode Director
33206,30901,Main
33206,25991,Main
33206,10013,Main
33206,22003,Supporting
33206,37047,Supporting
33206,212,Supporting
33206,52,Supporting
33206,513,Supporting
33206,10217,Supporting
33206,20795,Supporting
33206,6771,Director
33206,7194,Sound Director
33206,7498,Episode Director
33206,40506,Episode Director
20785,513,Main
20785,869,Main
20785,185,Supporting
20785,11784,Supporting
20785,6997,Supporting
20785,11817,Supporting
20785,6560,Supporting
20785,21517,Supporting
20785,158,Supporting
20785,8639,Supporting
20785,7190,Director
20785,6549,Sound Director
20785,40170,Episode Director
20785,40112,Script
31478,65,Main
31478,24875,Main
31478,196,Supporting
31478,118,Supporting
31478,819,Supporting
31478,11404,Supporting
31478,185,Supporting
31478,5295,Supporting
31478,5626,Supporting
31478,37491,Supporting
31478,10087,Director
31478,33967,Sound Director
31478,5062,Script
31478,10428,Storyboard
918,2,Main
918,8,Main
918,278,Main
918,123,Supporting
918,17,Supporting
918,5,Supporting
918,428,Supporting
918,160,Supporting
918,284,Supporting
918,245,Supporting
918,5152,Co-Director
918,16407,Producer
918,12437,Director
918,20050,Sound Director
356,13,Main
356,116,Main
356,95,Main
356,16,Main
356,113,Supporting
356,1,Supporting
356,120,Supporting
356,117,Supporting
356,91,Supporting
356,96,Supporting
356,19842,Director
356,19333,Episode Director
356,6468,Episode Director
356,5978,Script
22297,13,Main
22297,116,Main
22297,95,Main
22297,16,Main
22297,113,Supporting
