anime,studio
1572,68
718,7
708,94
612,27
2557,22
1502,48
952,11
3579,18
4264,11
20267,537
1179,11
301,207
1683,11
2577,22
1189,37
27741,218
32805,235
580,1
5725,14
33803,1169
5967,18
1069,14
3493,27
33245,1264
518,196
14333,18
1161,7
1878,73
2569,22
1325,37
5983,290
2157,60
1724,126
613,14
1775,79
799,37
5494,22
1391,14
37283,28
32011,276
3332,18
3081,44
2713,27
8394,18
2825,22
4209,37
38673,439
2203,18
360,86
2553,22
37433,11
40854,537
13185,896
10014,318
510,38
35730,541
37422,400
35999,866
1837,43
1493,73
623,179
1823,1065
3012,14
11177,118
1465,37
2011,37
4810,103
28869,247
511,63
3079,14
1991,196
2558,22
37395,28
5968,18
309,81
36022,28
2227,18
970,311
5712,358
38089,400
2813,358
912,1
40137,1263
14563,805
11547,398
5832,18
1652,589
5027,11
2151,1
1600,41
928,3
2706,27
1660,77
1599,37
37778,1209
14989,56
1193,101
2799,18
2089,8
2495,11
8234,68
2816,14
38669,1407
9883,1
2598,14
1597,11
22733,28
30826,91
4443,101
2361,1
349,88
1676,136
3738,330
26453,14
744,48
35739,276
1769,1
12651,28
3501,10
2819,126
35923,1264
14693,605
34787,103
34013,866
2331,73
2544,22
1886,7
2719,11
927,60
965,101
3199,22
3077,247
2554,22
980,27
29017,537
333,14
5658,18
2929,101
3008,103
1618,7
33026,103
2688,10
3327,14
2165,18
2287,86
2285,27
171,34
2549,22
36196,443
858,112
2703,27
865,14
21851,1560
36288,1661
3335,22
2245,14
1548,18
5397,330
40197,1971
2228,326
6604,37
28207,91
1845,18
2579,22
40995,1560
4962,37
2938,196
2230,18
2284,36
32084,95
31573,1258
786,1662
2333,36
31670,247
1623,44
2224,103
8287,14
2257,14
30291,456
2255,196
40473,2080
2254,14
5883,73
30039,27
10359,126
37990,37
1456,120
3437,14
2834,1545
2704,27
2337,455
646,37
23,18
1409,10
3295,103
1377,1191
37178,103
6130,18
17917,28
1638,22
2415,22
28835,1560
2364,7
34725,1514
729,86
4663,196
4060,22
754,73
2038,1
234,122
2561,18
3024,68
3059,1
3438,22
2200,14
4114,126
2827,18
40266,1258
3137,22
39282,28
39622,73
39078,1258
35818,354
751,37
2803,14
6509,36
960,22
34332,1314
3006,247
17727,911
332,22
36440,1350
1040,22
1300,77
20945,228
2259,126
5688,18
40893,432
38767,400
39244,28
2555,22
2405,18
1812,607
33490,247
1466,280
39699,103
27737,1258
1337,18
1175,7
2766,11
2546,22
1083,179
2036,22
6069,398
37448,1887
7176,309
23067,4
925,18
968,73
8961,400
7561,1436
34975,11
2987,14
3571,103
31018,30
1247,179
4416,14
1617,96
545,120
9346,14
1873,288
616,36
2709,27
3356,18
12963,126
810,86
32785,27
33541,833
7723,14
9806,1768
9884,435
19207,805
1684,44
37662,1129
1664,136
31566,91
3568,14
2283,65
2518,8
3146,179
3110,22
3193,409
36166,444
10324,400
4651,18
41558,18
34799,28
38203,1379
3809,103
2484,14
37646,866
5082,14
2786,81
3736,7
3305,14
32571,397
22099,73
5200,242
3162,22
34738,1169
5267,65
1068,14
4050,73
5153,14
32274,91
924,18
1848,14
7619,18
2836,22
2572,22
1899,196
34836,27
17497,126
36531,28
29715,432
2781,110
6901,14
10513,330
30649,247
30947,1169
4532,14
4056,37
3638,30
40166,28
31044,28
2727,11
5075,14
36797,884
2723,39
4191,10
677,14
2084,196
29865,400
8373,22
5854,22
3807,103
22215,103
2686,191
3424,22
1458,103
3388,18
1672,11
4823,126
6383,939
39620,1837
4198,18
926,18
3761,22
1590,36
13029,581
832,107
1893,11
32830,276
6055,37
22735,27
3271,22
3858,103
3486,14
31549,103
3035,196
280,36
40167,28
3345,22
1884,70
34052,28
8538,118
4486,18
2039,1
3285,18
3159,18
2087,196
7904,10
2823,363
1188,37
727,18
4375,86
5070,196
2510,196
6902,340
2570,73
6511,196
17127,1487
8503,18
3837,14
1236,18
1955,13
3660,1
23229,37
4086,22
2552,86
32572,1320
3444,196
3281,18
3836,246
30030,37
15547,118
10869,118
2804,196
2694,11
4061,22
19871,1
2913,22
7761,37
2565,68
11595,247
5520,126
3609,18
2467,86
2576,22
3021,18
3754,18
14913,14
33975,276
5440,14
2128,14
7643,1133
2736,28
3196,22
2223,18
4062,191
2699,79
5953,196
3561,22
3054,14
8235,68
4067,60
2826,226
2040,196
3399,65
34754,37
36418,1296
1093,247
956,18
5834,73
3835,22
2127,14
2244,120
3915,103
6374,103
3213,18
41283,28
2416,22
4240,18
1883,78
3418,86
2912,73
33434,1258
4773,22
2882,103
1771,18
2613,22
7004,18
7307,18
4808,103
3874,196
16347,330
6971,18
1314,14
3182,96
17147,866
2933,103
6375,103
16906,474
3325,14
2818,14
3036,86
37739,27
2820,103
6899,11
34888,103
1885,3
1537,18
4154,103
1947,218
18391,276
592,73
1667,154
2573,22
5292,18
4051,101
1891,27
4514,22
3099,14
8542,577
1574,37
2757,44
11017,14
310,1
1737,196
2716,37
36135,276
5830,247
4584,22
27785,1169
5997,18
3505,14
38804,103
38881,1005
2612,1
2624,73
8964,247
6119,37
3800,18
39183,1591
1962,86
35254,103
1673,11
2567,22
4563,118
23375,1560
4339,22
2771,177
2892,103
3672,1
7867,228
5938,126
4935,18
2718,1952
31068,94
3313,280
12145,1181
988,86
3878,18
8812,7
7160,103
2501,22
5023,385
4723,22
